"Please use Alipay HK App to Pay","請使用香港支付宝支付"
"Please use Alipay App to Pay","請使用支付宝支付"
"tips...","tips..."
"Please use WeChat App to Pay,"請使用微信支付"
"Loading...","加载中，请稍后"
"Continue","继续"
"QFPay Payment Gateway","QFPay Payment Gateway"
"Enable","是否启用"
"Your Merchant ID","商户ID"
"QFPay Appscrect","商户秘钥"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Placed order status","Placed order status"
"Status of new placed order after Magento checkout is complete, but PaymentGateway didn't recieve funds.","Status of new placed order after Magento checkout is complete, but PaymentGateway didn't recieve funds."
"Paid order status","Paid order status"
"Status of successfully paid order in Magento when PaymentGateway recieved funds and sent confirmation to Magento.","Status of successfully paid order in Magento when PaymentGateway recieved funds and sent confirmation to Magento."
"We received your order!","We received your order!"
"Alipay Hong Kong","支付寶香港"
"Alipay China","支付寶"
"Wechat Pay","微信支付"
"Failed to process payment, please retry.", "订单支付失败, 请重新下单"